The original input was: 5 (0,3,200,3)(0,9,500,3)(0,20,500,3)(100,1,100,3)(100,100,500,3)
The (sorted) input is: 5 (0,3,200,3)(0,9,500,3)(0,20,500,3)(100,1,100,3)(100,100,500,3)

This detailed printout gives the state and remaining burst for each process

before cycle: 0 unstarted 0	 unstarted 0	 unstarted 0	 unstarted 0	 unstarted 0
before cycle: 1 running 2	 ready 0 	 ready 0 	 unstarted 0	 unstarted 0
before cycle: 2 running 1	 ready 0 	 ready 0 	 unstarted 0	 unstarted 0
before cycle: 3 blocked 2	 running 1	 ready 0 	 unstarted 0	 unstarted 0
before cycle: 4 blocked 1	 blocked 2	 running 14	 unstarted 0	 unstarted 0
before cycle: 5 ready 0 	 blocked 1	 running 13	 unstarted 0	 unstarted 0
before cycle: 6 ready 0 	 ready 0 	 running 12	 unstarted 0	 unstarted 0
before cycle: 7 ready 0 	 ready 0 	 running 11	 unstarted 0	 unstarted 0
before cycle: 8 ready 0 	 ready 0 	 running 10	 unstarted 0	 unstarted 0
before cycle: 9 ready 0 	 ready 0 	 running 9	 unstarted 0	 unstarted 0
before cycle: 10 ready 0 	 ready 0 	 running 8	 unstarted 0	 unstarted 0
before cycle: 11 ready 0 	 ready 0 	 running 7	 unstarted 0	 unstarted 0
before cycle: 12 ready 0 	 ready 0 	 running 6	 unstarted 0	 unstarted 0
before cycle: 13 ready 0 	 ready 0 	 running 5	 unstarted 0	 unstarted 0
before cycle: 14 ready 0 	 ready 0 	 running 4	 unstarted 0	 unstarted 0
before cycle: 15 ready 0 	 ready 0 	 running 3	 unstarted 0	 unstarted 0
before cycle: 16 ready 0 	 ready 0 	 running 2	 unstarted 0	 unstarted 0
before cycle: 17 ready 0 	 ready 0 	 running 1	 unstarted 0	 unstarted 0
before cycle: 18 running 2	 ready 0 	 blocked 2	 unstarted 0	 unstarted 0
before cycle: 19 running 1	 ready 0 	 blocked 1	 unstarted 0	 unstarted 0
before cycle: 20 blocked 1	 running 7	 ready 0 	 unstarted 0	 unstarted 0
before cycle: 21 ready 0 	 running 6	 ready 0 	 unstarted 0	 unstarted 0
before cycle: 22 ready 0 	 running 5	 ready 0 	 unstarted 0	 unstarted 0
before cycle: 23 ready 0 	 running 4	 ready 0 	 unstarted 0	 unstarted 0
before cycle: 24 ready 0 	 running 3	 ready 0 	 unstarted 0	 unstarted 0
before cycle: 25 ready 0 	 running 2	 ready 0 	 unstarted 0	 unstarted 0
before cycle: 26 ready 0 	 running 1	 ready 0 	 unstarted 0	 unstarted 0
before cycle: 27 ready 0 	 blocked 2	 running 3	 unstarted 0	 unstarted 0
before cycle: 28 ready 0 	 blocked 1	 running 2	 unstarted 0	 unstarted 0
before cycle: 29 ready 0 	 ready 0 	 running 1	 unstarted 0	 unstarted 0
before cycle: 30 running 3	 ready 0 	 blocked 2	 unstarted 0	 unstarted 0
before cycle: 31 running 2	 ready 0 	 blocked 1	 unstarted 0	 unstarted 0
before cycle: 32 running 1	 ready 0 	 ready 0 	 unstarted 0	 unstarted 0
before cycle: 33 blocked 2	 running 6	 ready 0 	 unstarted 0	 unstarted 0
before cycle: 34 blocked 1	 running 5	 ready 0 	 unstarted 0	 unstarted 0
before cycle: 35 ready 0 	 running 4	 ready 0 	 unstarted 0	 unstarted 0
before cycle: 36 ready 0 	 running 3	 ready 0 	 unstarted 0	 unstarted 0
before cycle: 37 ready 0 	 running 2	 ready 0 	 unstarted 0	 unstarted 0
before cycle: 38 ready 0 	 running 1	 ready 0 	 unstarted 0	 unstarted 0
before cycle: 39 ready 0 	 blocked 2	 running 1	 unstarted 0	 unstarted 0
before cycle: 40 running 2	 blocked 1	 blocked 1	 unstarted 0	 unstarted 0
before cycle: 41 running 1	 ready 0 	 ready 0 	 unstarted 0	 unstarted 0
before cycle: 42 blocked 2	 running 9	 ready 0 	 unstarted 0	 unstarted 0
before cycle: 43 blocked 1	 running 8	 ready 0 	 unstarted 0	 unstarted 0
before cycle: 44 ready 0 	 running 7	 ready 0 	 unstarted 0	 unstarted 0
before cycle: 45 ready 0 	 running 6	 ready 0 	 unstarted 0	 unstarted 0
before cycle: 46 ready 0 	 running 5	 ready 0 	 unstarted 0	 unstarted 0
before cycle: 47 ready 0 	 running 4	 ready 0 	 unstarted 0	 unstarted 0
before cycle: 48 ready 0 	 running 3	 ready 0 	 unstarted 0	 unstarted 0
before cycle: 49 ready 0 	 running 2	 ready 0 	 unstarted 0	 unstarted 0
before cycle: 50 ready 0 	 running 1	 ready 0 	 unstarted 0	 unstarted 0
before cycle: 51 ready 0 	 blocked 3	 running 8	 unstarted 0	 unstarted 0
